"","BB-1","BB-2","BB-3","BB-4","GR-1","GR-2","GR-3","GR-4","MT-1","MT-2","MT-3","MT-4","YS-1","YS-2","YS-3","YS-4"
"Label","BB","BB","BB","BB","GR","GR","GR","GR","MT","MT","MT","MT","YS","YS","YS","YS"
"1-Pentadecene","0.000097200","0.000291836","0.000270849","0.000319340","0.000085800","0.000100294","0.000278653","0.000275062","0.000151137","0.000120492","0.000205200","0.000159069","0.000370889","0.000417974","0.000405072","0.000388829"
"1R-alpha-Pinene","0.002855737","0.004003494","0.005360723","0.009690623","0.041980800","0.056220620","0.013100760","0.027658800","0.023095990","0.025320650","0.004004096","0.029003010","0.027241080","0.024080780","0.001542666","0.023231030"
"1-Tridecene","0.000034600","0.000292549","0.002560639","0.000878634","0.000058600","0.000065800","0.001651889","0.001074747","0.000180628","0.000195954","0.000072300","0.000069900","0.000117862","0.000152906","0.000160734","0.000138397"
"2_3-Dehydro-1_8-cineole","0.000028300","0.000047400","0.000095900","0.000170791","0.001475740","0.001464259","0.000854166","0.001191376","0.001214053","0.000283799","0.000647191","0.001368077","0.000620756","0.000990803","0.001036442","0.002362087"
"2-Ethyl-trans-2-butenal","0.000015600","0.000059800","0.000360389","0.000365413","0.000067200","0.000968092","0.000231359","0.001072306","0.000266874","0.000640753","0.000301038","0.000003720","0.000144331","0.000161971","0.000115850","0.000058100"
"2-Methyl-1-butyl acetate","0.000015400","0.000110555","0.000106166","0.000122014","0.000436001","0.000043100","0.000250738","0.000044800","0.000012200","0.000029400","0.000019500","0.000012300","0.000113336","0.000020000","0.000618864","0.000016500"
"2-Phenyltridecane","0.001290148","0.000008560","0.000008560","0.000005280","0.000028800","0.000007890","0.000008810","0.000015100","0.000019000","0.000013400","0.000001056","0.000009550","0.000009650","0.000008710","0.000009450","0.000014900"
"3_3_6-Trimethyl-1_4-heptadien-6-ol","0.000018600","0.000836217","0.000567824","0.000777184","0.000125070","0.000563893","0.000156775","0.000094800","0.000005680","0.000450755","0.000014800","0.000029600","0.000046000","0.000153972","0.000041700","0.000023600"
"3-Hexen-1-ol","0.001218020","0.000214153","0.000045300","0.000092200","0.000278831","0.000044700","0.000040700","0.000088000","0.000059100","0.000129591","0.000022700","0.000030500","0.000018000","0.000028400","0.000085900","0.000138933"
"3-Methyl-4-penten-1-ol acetate","0.306740300","0.063349320","0.100734700","0.000029100","0.126738400","0.000073200","0.285781300","0.000068700","0.000051400","0.000042300","0.000066900","0.000005460","0.009640156","0.000004140","0.091144090","0.000007810"
"3-Octanol","0.000020400","0.000453539","0.000298373","0.000180926","0.000056200","0.000008610","0.000049000","0.000009970","0.000628228","0.000027500","0.000550846","0.000044600","0.000386799","0.000007680","0.000493834","0.000015100"
